37660	29469	8191	5510	2616	2483	133	65
30176	23548	6628	4522	2032	1845	187	74
20533	14801	5732	4156	1511	1530	-19	65
18684	12322	6362	4449	1845	1354	491	68
7856268	4697484	3158784	2312441	534578	717407	-182829	311765
608534	323468	285066	218416	44257	51873	-7616	22393
592401	366870	225531	170187	33482	41773	-8291	21862
517365	326861	190504	135674	26261	56927	-30666	28569
480169	221651	258518	171664	43769	94640	-50871	43085
535958	164189	371769	247556	71971	76531	-4560	52242
639155	224089	415066	295472	78102	73541	4561	41492
737371	360567	376804	277588	68356	70738	-2382	30860
725981	438507	287474	215509	48795	53054	-4259	23170
613535	422562	190973	146015	30381	39592	-9211	14577
543606	400405	143201	111693	21412	34409	-12997	10096
418537	320252	98285	77308	14054	31462	-17408	6923
330621	254009	76612	59729	11333	26989	-15656	5550
292910	227900	65010	49783	10747	23377	-12630	4480
284531	228951	55580	43148	9890	15499	-5609	2542
240489	195238	45251	35488	7933	10922	-2989	1830
161704	126814	34890	27267	6501	8008	-1507	1122
133401	95151	38250	29944	7334	8072	-738	972
1689911	919717	770194	526221	205267	235212	-29945	38706
141953	67143	74810	54136	16716	22111	-5395	3958
149462	84197	65265	47151	14635	18648	-4013	3479
142348	79597	62751	45286	13755	18958	-5203	3710
121347	36288	85059	58458	21314	27906	-6592	5287
114147	29661	84486	56071	22578	28748	-6170	5837
117244	42616	74628	49964	20079	25789	-5710	4585
143521	69639	73882	50201	19821	22973	-3152	3860
145157	82187	62970	43354	17269	18960	-1691	2347
131991	82481	49510	34282	13453	14263	-810	1775
112810	73746	39064	25691	12159	10353	1806	1214
86645	59501	27144	16536	9702	7314	2388	906
70796	51054	19742	11800	7404	5307	2097	538
63107	47583	15524	9122	6053	4296	1757	349
55771	44132	11639	7725	3638	3238	400	276
43186	33704	9482	6379	2840	2731	109	263
27519	20621	6898	4904	1802	1818	-16	192
22907	15567	7340	5161	2049	1799	250	130
17749110	10961493	6787617	5340392	726477	1600725	-874248	720748
1357191	761738	595453	505034	43766	118227	-74461	46653
1336043	857264	478779	396174	33134	96089	-62955	49471
1267339	788742	478597	353674	53218	106960	-53742	71705
1246001	539494	706507	481385	118631	183708	-65077	106491
1287188	423410	863778	610511	138317	203412	-65095	114950
1440304	579889	860415	667904	99263	188255	-88992	93248
1588190	838827	749363	607882	72132	164091	-91959	69349
1540402	970326	570076	471448	48411	122676	-74265	50217
1351643	954448	397195	329786	32707	84089	-51382	34702
1203696	908137	295559	246171	24081	68771	-44690	25307
